mu,nv,phi_j
0.7071067811865476,3,0.8111022947694501
0.3922322702763648,3,0.8328425545714989
0.08151391459392208,3,0.8511136085163897
0.04080782932503446,3,0.8483201509757349
0.008164829729915748,3,0.8427216448226842
0.7770942488589635,6,0.7640997831718452
0.421078708453035,6,0.8018451427931886
0.08666978548021526,6,0.8405614376801285
0.043374985057394705,6,0.8404117919723533
0.008677567623904503,6,0.8392306061767799
0.8433074288781546,10,0.7556958506758314
0.4465288487115895,10,0.7982563076610869
0.09109372317530223,10,0.8370237212366287
0.045575670234116586,10,0.838331521956156
0.0091169801104741,10,0.8383664387163453
0.911613792276186,20,0.7625929785520378
0.47097143422939225,20,0.7976804744121144
0.09523064426095479,20,0.8346511767875093
0.04763179197926146,20,0.8373761920917199
0.009527413188282959,20,0.8386325244606867
0.9386218028254322,30,0.7689510168330719
0.48014540606548006,30,0.8010288403131934
0.09675483159040456,30,0.8330700156701821
0.048388888601853135,30,0.8367494825058893
0.009678512324846988,30,0.8381597361691723
