nv,mu,phi_j,pair_vertex_contacts,z_p,z_v,mu_mean,mu_std,mu_dist
4,0.008164829729915748,0.8399123523711738,"[[1 1]
 [2 2]
 [1 1]
 ...
 [1 1]
 [2 1]
 [1 1]]",3.9742489270386265,5.579399141630901,0.036393129299884905,0.029958948859265023,"[9.33161702e-03 5.44227072e-05 2.71948496e-04 ... 3.80109802e-03
 8.34098368e-02 6.25420897e-02]"
7,0.008677567623904503,0.8379883975816245,"[[1 1]
 [1 2]
 [1 1]
 ...
 [1 1]
 [2 1]
 [1 1]]",3.9505376344086023,5.576344086021505,0.018342513731604906,0.014763350538346594,[0.00825197 0.00602734 0.00836038 ... 0.03489202 0.00802342 0.02297292]
11,0.0091169801104741,0.8375490341999776,"[[2 1]
 [1 1]
 [1 2]
 ...
 [1 1]
 [2 1]
 [1 2]]",3.9305103148751357,5.609120521172638,0.012276778713428594,0.009094057895235094,[0.00970628 0.01273124 0.00646083 ... 0.00479943 0.01867139 0.00936504]
21,0.009527413188282959,0.8407802869204192,"[[2 2]
 [1 1]
 [1 2]
 ...
 [2 1]
 [1 1]
 [1 1]]",3.9218241042345277,5.635179153094462,0.007315546442871268,0.0055480859963722325,[0.00310627 0.00672895 0.01459775 ... 0.00909452 0.01446128 0.01030542]
31,0.009678512324846988,0.8366569179640024,"[[1 1]
 [1 1]
 [2 1]
 ...
 [1 1]
 [1 1]
 [2 1]]",3.9443254817987152,5.668094218415417,0.006227801875579903,0.004535410151980413,[0.0063986  0.0110884  0.00243747 ... 0.00958313 0.0035747  0.00320755]
4,0.008164829729915748,0.8406623523709099,"[[2 2]
 [1 1]
 [1 1]
 ...
 [1 1]
 [1 1]
 [2 1]]",4.0,5.579604578563996,0.036934184508969486,0.02961001994990023,[0.00044911 0.00901833 0.08607487 ... 0.01945007 0.06569569 0.11033873]
7,0.008677567623904503,0.8388868350813642,"[[2 2]
 [2 2]
 [1 1]
 ...
 [1 1]
 [1 2]
 [1 1]]",3.9536354056902003,5.610115911485774,0.01863713140798518,0.014874374755137483,[0.00052046 0.01234313 0.00496035 ... 0.00498494 0.01799931 0.05078918]
11,0.0091169801104741,0.8383703232622094,"[[1 1]
 [1 2]
 [2 1]
 ...
 [1 1]
 [1 1]
 [1 1]]",3.939720129171152,5.636167922497309,0.012281987814153952,0.009261607038403707,[0.02244475 0.01179663 0.0178621  ... 0.01321027 0.01695248 0.0330306 ]
21,0.009527413188282959,0.8375341931701547,"[[1 1]
 [1 1]
 [2 2]
 ...
 [1 1]
 [1 2]
 [1 1]]",3.930960086299892,5.6375404530744335,0.007609278237776895,0.005619486248131556,[0.00559304 0.00440101 0.00389467 ... 0.00131519 0.00945432 0.00619891]
31,0.009678512324846988,0.8376022304637312,"[[2 1]
 [1 1]
 [1 1]
 ...
 [1 1]
 [1 1]
 [1 1]]",3.9065217391304348,5.528260869565218,0.00622127823938477,0.004576299434013939,[0.00441249 0.01018453 0.00075889 ... 0.00036146 0.00203636 0.00748468]
4,0.008164829729915748,0.8433654773706409,"[[1 1]
 [1 1]
 [2 1]
 ...
 [2 1]
 [1 1]
 [1 1]]",3.9957761351636747,5.624076029567054,0.03712979254204358,0.029734045634028518,[0.00988456 0.00133532 0.00019774 ... 0.07022737 0.02120465 0.01164051]
7,0.008677567623904503,0.8426758975810931,"[[1 1]
 [1 1]
 [2 2]
 ...
 [1 1]
 [1 1]
 [1 1]]",3.958963282937365,5.6414686825053995,0.01818674686153136,0.014572881246612934,[0.00386668 0.00215789 0.03114221 ... 0.03186291 0.03409204 0.02197146]
11,0.0091169801104741,0.8394045029494426,"[[2 1]
 [2 2]
 [1 1]
 ...
 [1 1]
 [2 1]
 [1 2]]",3.939978563772776,5.654876741693462,0.012181289684127607,0.009190059088103024,"[8.19310229e-03 1.35887048e-02 1.68189096e-05 ... 2.41633681e-02
 3.81506683e-05 1.74984775e-02]"
