nv,mu,phi,pressure,temp
5,0.08494776691458673,0.6020484069644422,3.222083783084862e-06,9.298654211158616e-07
7,0.08810175736056135,0.6045581115765455,3.1919405366635736e-06,9.14632434550602e-07
11,0.0917953340839378,0.6076904859491102,3.289696405812052e-06,9.29443276778521e-07
13,0.09291928548568841,0.6085771635810718,3.336781093813738e-06,9.322612623706087e-07
19,0.0949963704011567,0.6100557997435687,3.3059737890096217e-06,9.230871342183756e-07
31,0.09685551505548305,0.6114862920762347,3.3075350689270325e-06,9.164772407283333e-07
5,0.08494776691458673,0.6030484069644173,3.2580609819260658e-06,9.266345596222846e-07
7,0.08810175736056135,0.6055581115765197,3.234721028847036e-06,9.189476306601999e-07
11,0.0917953340839378,0.6086904859490835,3.320026472862871e-06,9.222224294763457e-07
13,0.09291928548568841,0.6095771635810439,3.288598177013406e-06,9.235557297038429e-07
19,0.0949963704011567,0.611055799743542,3.2816293184487503e-06,9.167147955480978e-07
31,0.09685551505548305,0.6124862920762092,3.3907722021308047e-06,9.226300034231326e-07
5,0.08494776691458673,0.7990484069591565,1.860235447551321e-05,9.17231895073355e-07
7,0.08810175736056135,0.8015581115712677,2.043830813438419e-05,9.251754888250163e-07
11,0.0917953340839378,0.8046904859438827,2.1420459214596777e-05,9.216363893065862e-07
13,0.09291928548568841,0.805577163575786,2.1929302052462174e-05,9.181073241644158e-07
19,0.0949963704011567,0.8070557997383019,2.2934304982756986e-05,9.209716494955266e-07
31,0.09685551505548305,0.8084862920709703,2.3496077144188773e-05,9.219309609312525e-07
5,0.08494776691458673,0.6110484069642023,3.3445526988236572e-06,9.216872228111853e-07
7,0.08810175736056135,0.6135581115762999,3.3820503280328064e-06,9.206438706569328e-07
11,0.0917953340839378,0.6166904859488727,3.482663930725037e-06,9.244629644166947e-07
13,0.09291928548568841,0.6175771635808324,3.552742836886905e-06,9.221627934760006e-07
19,0.0949963704011567,0.619055799743329,3.496769138066033e-06,9.205135469175138e-07
31,0.09685551505548305,0.6204862920759986,3.532814562425448e-06,9.256262211804194e-07
5,0.08494776691458673,0.6140484069641219,3.4818786962686304e-06,9.218355208592214e-07
7,0.08810175736056135,0.616558111576216,3.5528151155272725e-06,9.271748286432736e-07
11,0.0917953340839378,0.6196904859487892,3.570833922439139e-06,9.246340161557625e-07
13,0.09291928548568841,0.6205771635807495,3.576865848814962e-06,9.1753624659965e-07
19,0.0949963704011567,0.6220557997432516,3.5688969073428575e-06,9.248902468421532e-07
31,0.09685551505548305,0.6234862920759158,3.6273441862719094e-06,9.175989106677034e-07
5,0.08494776691458673,0.6600484069628841,4.840374115129291e-06,9.243392927179096e-07
7,0.08810175736056135,0.6625581115749714,4.902422928715354e-06,9.256997511770848e-07
11,0.0917953340839378,0.665690485947581,4.850068803413211e-06,9.204907746196616e-07
13,0.09291928548568841,0.6665771635795039,4.961553246252843e-06,9.156445116136977e-07
19,0.0949963704011567,0.6680557997420231,5.049360331876266e-06,9.243268214475516e-07
31,0.09685551505548305,0.6694862920746845,5.048382291248416e-06,9.21390330724488e-07
5,0.08494776691458673,0.6740484069625038,5.2868364166063366e-06,9.262461712714119e-07
7,0.08810175736056135,0.6765581115745948,5.2918784200603835e-06,9.137397849009111e-07
11,0.0917953340839378,0.6796904859472064,5.5542921809783505e-06,9.284429222016105e-07
13,0.09291928548568841,0.6805771635791319,5.615647956082938e-06,9.225301666271834e-07
19,0.0949963704011567,0.6820557997416468,5.6028488237469345e-06,9.265635629920264e-07
31,0.09685551505548305,0.6834862920743054,5.630560019796389e-06,9.214183345168781e-07
5,0.08494776691458673,0.6380484069634826,4.053827273289422e-06,9.22692351119861e-07
7,0.08810175736056135,0.6405581115755659,4.203475482578777e-06,9.224669117088947e-07
11,0.0917953340839378,0.6436904859481569,4.214685955593984e-06,9.303386964650651e-07
13,0.09291928548568841,0.6445771635800955,4.188136965541948e-06,9.184569419478747e-07
19,0.0949963704011567,0.6460557997426162,4.261247647996587e-06,9.246277043704811e-07
31,0.09685551505548305,0.6474862920752754,4.258571304805262e-06,9.166681270929405e-07
5,0.08494776691458673,0.671048406962583,5.207060002455715e-06,9.210357847959995e-07
7,0.08810175736056135,0.6735581115746752,5.355042589573681e-06,9.293621782209164e-07
11,0.0917953340839378,0.6766904859472856,5.3480879165032344e-06,9.203913196319571e-07
13,0.09291928548568841,0.6775771635792155,5.386382357673812e-06,9.240582990594847e-07
19,0.0949963704011567,0.679055799741723,5.384999304755521e-06,9.218813668311255e-07
31,0.09685551505548305,0.6804862920743832,5.488602234469823e-06,9.202547625239934e-07
5,0.08494776691458673,0.6650484069627498,4.9552648523406485e-06,9.273456236732527e-07
7,0.08810175736056135,0.6675581115748339,5.027055834086679e-06,9.223089660469296e-07
11,0.0917953340839378,0.6706904859474486,5.249573182524736e-06,9.34983780138129e-07
13,0.09291928548568841,0.671577163579373,5.065334494525945e-06,9.149254695352135e-07
19,0.0949963704011567,0.6730557997418856,5.2214437004790355e-06,9.164306343067933e-07
31,0.09685551505548305,0.674486292074548,5.305783734269351e-06,9.200294114779867e-07
5,0.08494776691458673,0.6290484069637257,3.8138975020944425e-06,9.262038013401918e-07
7,0.08810175736056135,0.6315581115758069,3.825760529389317e-06,9.183350016803626e-07
11,0.0917953340839378,0.6346904859484017,3.954371150689739e-06,9.261215135168514e-07
13,0.09291928548568841,0.635577163580338,3.907140986909659e-06,9.219598389398619e-07
19,0.0949963704011567,0.6370557997428535,4.014996501089887e-06,9.244974186180944e-07
31,0.09685551505548305,0.6384862920755205,3.995577490768841e-06,9.223032902991365e-07
5,0.08494776691458673,0.6670484069626944,5.112086885148164e-06,9.260881401856098e-07
7,0.08810175736056135,0.6695581115747803,5.102373736723581e-06,9.228586415538419e-07
11,0.0917953340839378,0.6726904859473932,5.18615843838926e-06,9.206040511632227e-07
13,0.09291928548568841,0.6735771635793173,5.280717893980931e-06,9.217744905939558e-07
19,0.0949963704011567,0.6750557997418308,5.321945678287309e-06,9.281058067696126e-07
31,0.09685551505548305,0.6764862920744931,5.42569237522054e-06,9.212950629186992e-07
5,0.08494776691458673,0.6360484069635367,3.98311311106199e-06,9.268877391641093e-07
7,0.08810175736056135,0.6385581115756201,4.085789075200823e-06,9.259750076203559e-07
11,0.0917953340839378,0.6416904859482082,4.195962632789654e-06,9.210806805045002e-07
13,0.09291928548568841,0.6425771635801504,4.153008303173082e-06,9.098239483169729e-07
19,0.0949963704011567,0.6440557997426704,4.20154581500622e-06,9.215340119809291e-07
31,0.09685551505548305,0.6454862920753299,4.2259102829526e-06,9.265477895884725e-07
5,0.08494776691458673,0.8050484069589893,2.0511815840291168e-05,9.262009650843993e-07
7,0.08810175736056135,0.8075581115711091,2.389554382663379e-05,9.257308171868626e-07
11,0.0917953340839378,0.8106904859437265,2.5101972256813042e-05,9.209936181092166e-07
